ID,Area,CenterX,CenterY,type
1,8759,351,1696,3
2,7027,719,1025,23
3,7632,1005,1116,3
4,7599,1000,1220,3
5,5952,517,1162,3
6,7517,454,1212,3
7,7451,453,1298,3
8,4859,499,1422,3
9,4804,677,1209,3
10,5875,960,1336,3
11,5736,826,1382,3
12,7013,622,1348,3
13,7588,1112,1405,3
14,8045,1230,1415,3
15,7470,969,1438,3
16,6801,655,1428,3
17,6074,580,1450,3
18,6110,598,1536,3
19,7823,797,1534,3
20,7229,1001,1532,3
21,8017,1107,1567,3
22,6403,1315,1619,3
23,8219,1336,1724,3
24,6751,1241,1679,3
25,6819,1142,1645,3
26,4667,892,1611,3
27,6757,823,1651,3
28,7921,654,1619,3
29,7767,458,1619,3
30,6418,519,1697,3
31,7109,751,1720,23
32,9302,935,1710,3
33,7049,1030,1749,3
34,7073,1153,1773,3
35,6625,1261,1896,3
36,6263,1090,1840,3
37,6100,690,1784,3
38,8874,864,1880,3
39,6902,771,1927,3
40,5889,515,1818,3
41,7687,485,1912,3
42,6690,851,1984,3
43,8059,417,1993,3
44,7662,428,2147,3
45,6330,625,2153,3
46,5526,728,2143,3
47,7515,483,2069,3
48,5183,669,2064,3
49,7562,824,2099,3
50,8820,963,2058,3
51,7967,998,1927,23
52,6921,1106,1936,3
53,9841,1231,2002,23
54,8068,1367,2294,3
55,8183,1203,2754,3
56,5594,1426,2841,3
57,7488,1458,2776,3
58,7312,1579,2739,2
59,4223,1411,2529,3
60,4479,1477,2487,3
61,5856,1628,2538,23
62,6654,1719,2520,23
63,12633,1672,2284,2
64,10728,1888,2342,3
65,5802,1041,853,3
66,2825,1110,895,3
67,4298,1178,930,3
68,3555,1236,958,3
69,4878,1317,950,3
70,3805,1530,994,3
71,5647,1573,1054,3
72,5311,1636,1107,3
73,5107,1710,1131,3
74,3569,1800,1213,3
75,3256,1906,1358,3
76,4299,1962,1351,3
77,4065,2000,1389,3
78,4316,2117,1437,3
79,3999,2276,1486,3
80,7362,2435,1463,3
81,5639,2775,883,3
82,5569,2552,889,3
83,5728,2454,810,3
84,5595,2435,896,3
85,7276,1984,804,3
86,4745,1884,765,3
87,7220,1105,807,3
88,4438,1425,810,3
89,3983,1497,764,3
90,5644,1561,815,3
91,5470,1477,858,23
92,4416,1390,911,3
93,4132,1445,946,3
94,4007,1572,889,23
95,4273,1707,856,3
96,4939,1755,901,3
97,4587,1597,954,3
98,5267,1683,958,23
99,4087,1637,1018,23
100,3403,1751,969,23
101,3582,1784,1007,23
102,4731,1844,1021,3
103,4776,1967,1083,3
104,5945,2035,951,3
105,5952,2188,929,3
106,6730,2337,907,3
107,5961,2378,980,3
108,5447,2175,1030,3
109,6116,2107,1023,3
110,4057,1876,1207,3
111,4759,1949,1191,3
112,5345,2077,1121,3
113,5172,2148,1134,3
114,6361,2220,1181,3
115,4010,2092,1209,3
116,3646,2030,1226,3
117,4745,1889,1268,3
118,4360,2119,1333,3
119,3149,2145,1242,3
120,3336,2230,1325,3
121,6153,2369,1311,3
122,6638,2696,779,3
123,8075,438,1744,3
124,5157,2200,1415,3
125,4987,2381,1408,3
126,4660,2216,1476,1
127,4083,1610,2817,1
128,7592,1437,3020,1
129,5218,1281,2758,1
130,4268,2165,1360,1
131,3919,2023,1301,1
132,5115,2011,1149,1
133,6833,2326,1063,1
134,6113,2114,937,1
135,5706,1912,940,1
136,4928,1892,1139,1
137,4273,1511,925,1
138,5070,1190,854,1
139,4373,1379,670,1
140,8140,1466,710,1
141,5203,1762,780,1
142,5850,2075,760,1
143,3397,2208,838,1
144,6016,2364,820,1
145,6097,2431,727,1
146,7019,2485,947,1
147,4850,2618,830,1
148,6874,2655,699,1
149,5220,2751,701,1
150,6969,2806,765,1
151,2939,2745,835,1
152,6382,1801,2328,1
153,7753,1614,2375,1
154,3905,1384,2471,1
155,8447,1791,2576,1
156,5293,1690,2597,1
157,7176,1493,2638,1
158,6455,1316,2492,1
